date,code,volume
20260704,00400A,39995876.0
20260704,00401A,1838323.0
20260704,00402A,7213438.0
20260704,00403A,208593027.0
20260704,00404A,7661663.0
20260704,00405A,57787872.0
20260704,00406A,20438763.0
20260704,00407A,86125609.0
20260704,0050,82436126.0
20260704,0051,67182.0
20260704,0052,29828434.0
20260704,0053,23519.0
20260704,0055,432231.0
20260704,0056,33981422.0
20260704,0057,8742.0
20260704,0061,252793.0
20260704,006203,5542.0
20260704,006204,10512.0
20260704,006205,890209.0
20260704,006206,66111.0
20260704,006207,282692.0
20260704,006208,3068760.0
20260704,00625K,0.0
20260704,00631L,264692695.0
20260704,00632R,143173234.0
20260704,00633L,3644038.0
20260704,00634R,598898.0
20260704,00635U,7548956.0
20260704,00636,314767.0
20260704,00636K,200.0
20260704,00637L,27358045.0
20260704,00638R,219500.0
20260704,00639,451071.0
20260704,00640L,106903.0
20260704,00641R,1187020.0
20260704,00642U,1756362.0
20260704,00643,2852096.0
20260704,00643K,23000.0
20260704,00645,96948.0
20260704,00646,2505669.0
20260704,00647L,30468.0
20260704,00648R,1660000.0
20260704,00650L,5578272.0
20260704,00651R,318459.0
20260704,00652,871338.0
20260704,00653L,309786.0
20260704,00654R,133000.0
20260704,00655L,1530931.0
20260704,00656R,85400.0
20260704,00657,157029.0
20260704,00657K,200.0
20260704,00660,11133.0
20260704,00661,68574.0
20260704,00662,2271309.0
20260704,00663L,12855980.0
20260704,00664R,17556294.0
20260704,00665L,21233329.0
20260704,00666R,53747.0
20260704,00668,952035.0
20260704,00668K,200.0
20260704,00669R,1305259.0
20260704,00670L,668586.0
20260704,00671R,4467086.0
20260704,00673R,13751918.0
20260704,00674R,668472.0
20260704,00675L,2412609.0
20260704,00676R,7945242.0
20260704,00678,529055.0
20260704,00680L,12728684.0
20260704,00681R,5000.0
20260704,00682U,119.0
20260704,00683L,52675.0
20260704,00684R,3000.0
20260704,00686R,8306902.0
20260704,00688L,2459566.0
20260704,00689R,36000.0
20260704,00690,217282.0
20260704,00692,605867.0
20260704,00693U,241275.0
20260704,00700,303857.0
20260704,00701,402306.0
20260704,00702,127706.0
20260704,00703,70290.0
20260704,00706L,2511181.0
20260704,00707R,0.0
20260704,00708L,7044390.0
20260704,00709,56272.0
20260704,00710B,183614.0
20260704,00711B,109826.0
20260704,00712,24745532.0
20260704,00713,7112476.0
20260704,00714,71658.0
20260704,00715L,4601660.0
20260704,00717,167541.0
20260704,00728,131627.0
20260704,00730,243797.0
20260704,00731,597641.0
20260704,00733,928888.0
20260704,00735,2883627.0
20260704,00736,135572.0
20260704,00737,174295.0
20260704,00738U,4585340.0
20260704,00739,20991.0
20260704,00752,1653384.0
20260704,00753L,13727585.0
20260704,00757,1583756.0
20260704,00762,344927.0
20260704,00763U,877930.0
20260704,00770,132109.0
20260704,00771,15426.0
20260704,00775B,80052.0
20260704,00783,208413.0
20260704,00830,21392725.0
20260704,00850,534898.0
20260704,00851,6719.0
20260704,00852L,137541.0
20260704,00861,166206.0
20260704,00865B,3932847.0
20260704,00875,273497.0
20260704,00876,336698.0
20260704,00878,22296837.0
20260704,00881,9309784.0
20260704,00882,11660727.0
20260704,00885,4306077.0
20260704,00891,11269527.0
20260704,00892,7885718.0
20260704,00893,607153.0
20260704,00894,767289.0
20260704,00895,1100103.0
20260704,00896,4689263.0
20260704,00897,1574299.0
20260704,00898,1616207.0
20260704,00899,89812.0
20260704,00900,5877475.0
20260704,00901,267766.0
20260704,00902,1187879.0
20260704,00903,35226.0
20260704,00904,1673407.0
20260704,00905,3212779.0
20260704,00907,1329790.0
20260704,00908,606106.0
20260704,00909,2176586.0
20260704,00910,1080761.0
20260704,00911,1174203.0
20260704,00912,911132.0
20260704,00913,1157088.0
20260704,00915,2655458.0
20260704,00916,3453921.0
20260704,00917,746385.0
20260704,00918,30825787.0
20260704,00919,54035525.0
20260704,00920,124010.0
20260704,00921,134801.0
20260704,00922,13380850.0
20260704,00923,3150953.0
20260704,00924,1570496.0
20260704,00926,1804308.0
20260704,00927,71003864.0
20260704,00929,21743156.0
20260704,00930,459429.0
20260704,00932,1359628.0
20260704,00934,2710074.0
20260704,00935,12357749.0
20260704,00936,1254032.0
20260704,00938,1550498.0
20260704,00939,3662960.0
20260704,00940,14313299.0
20260704,00941,2760426.0
20260704,00943,59628.0
20260704,00944,304093.0
20260704,00945B,7570139.0
20260704,00946,4542390.0
20260704,00947,6453460.0
20260704,00949,1174791.0
20260704,00951,2116945.0
20260704,00952,3100546.0
20260704,00953B,32854415.0
20260704,00954,3898770.0
20260704,00956,1240584.0
20260704,00960,754607.0
20260704,00961,12582050.0
20260704,00962,304265.0
20260704,00963,1048342.0
20260704,00964,2125953.0
20260704,00965,3625719.0
20260704,00971,267870.0
20260704,00972,106070.0
20260704,009800,1021414.0
20260704,009801,608810.0
20260704,009802,2730010.0
20260704,009803,1351461.0
20260704,009804,4591817.0
20260704,009805,6549480.0
20260704,009808,355631.0
20260704,009809,735337.0
20260704,00980A,4205961.0
20260704,009810,86802.0
20260704,009811,2703177.0
20260704,009812,853523.0
20260704,009813,3003377.0
20260704,009816,101885927.0
20260704,009817,2215305.0
20260704,009818,481314.0
20260704,009819,8885989.0
20260704,00981A,175889407.0
20260704,00981T,1964893.0
20260704,009820,8052431.0
20260704,009821,18505197.0
20260704,009824,21796209.0
20260704,00982A,22412643.0
20260704,00982D,413683.0
20260704,00982T,55209.0
20260704,00983A,1286236.0
20260704,00983D,770076.0
20260704,00984A,6928890.0
20260704,00984D,8609139.0
20260704,00985A,2630777.0
20260704,00985B,4164069.0
20260704,00986A,210526.0
20260704,00987A,1989075.0
20260704,00988A,104892427.0
20260704,00989A,1797901.0
20260704,00990A,64758917.0
20260704,00991A,92203606.0
20260704,00992A,38074124.0
20260704,00993A,5529890.0
20260704,00994A,5083890.0
20260704,00995A,4017362.0
20260704,00996A,5927284.0
20260704,00997A,63169946.0
20260704,00999A,16696551.0
20260704,01001T,5012.0
20260704,01002T,73000.0
20260704,01004T,240293.0
20260704,01007T,270029.0
20260704,01009T,4000.0
20260704,01010T,27056.0
20260704,020000,0.0
20260704,020011,0.0
20260704,020012,0.0
20260704,02001L,171000.0
20260704,020020,0.0
20260704,020028,1000.0
20260704,020029,10000.0
20260704,020030,6000.0
20260704,020031,10000.0
20260704,020032,1000.0
20260704,020034,20000.0
20260704,020036,1000.0
20260704,020037,0.0
20260704,020038,2000.0
20260704,020039,5000.0
20260704,1101,28112178.0
20260704,1101B,2700.0
20260704,1102,17532050.0
20260704,1103,605390.0
20260704,1104,1213876.0
20260704,1108,1071217.0
20260704,1109,288214.0
20260704,1110,477756.0
20260704,1201,795668.0
20260704,1203,16023.0
20260704,1210,5765678.0
20260704,1213,79097.0
20260704,1215,982825.0
20260704,1216,16111988.0
20260704,1217,1339502.0
20260704,1218,1969447.0
20260704,1219,1230884.0
20260704,1220,90859.0
20260704,1225,299199.0
20260704,1227,2575126.0
20260704,1229,4781319.0
20260704,1231,324518.0
20260704,1232,720717.0
20260704,1233,41693.0
20260704,1234,209462.0
20260704,1235,12128.0
20260704,1236,107857.0
20260704,1256,166071.0
20260704,1301,190058976.0
20260704,1303,35662605.0
20260704,1304,27511662.0
20260704,1305,23511994.0
20260704,1307,2925469.0
20260704,1308,14799638.0
20260704,1309,21664264.0
20260704,1310,25050677.0
20260704,1312,97061757.0
20260704,1312A,37000.0
20260704,1313,38850531.0
20260704,1314,294715987.0
20260704,1315,67155.0
20260704,1316,4459235.0
20260704,1319,2588949.0
20260704,1321,178471.0
20260704,1323,159232.0
20260704,1324,385540.0
20260704,1325,401751.0
20260704,1326,97646905.0
20260704,1337,4741612.0
20260704,1338,423323.0
20260704,1339,113506.0
20260704,1340,471353.0
20260704,1341,5597.0
20260704,1342,670706.0
20260704,1402,25497121.0
20260704,1409,79612192.0
20260704,1410,401747.0
20260704,1413,124809.0
20260704,1414,471528.0
20260704,1416,444437.0
20260704,1417,953071.0
20260704,1418,14374.0
20260704,1419,225497.0
20260704,1423,29686.0
20260704,1432,333224.0
20260704,1434,34675556.0
20260704,1435,79586.0
20260704,1436,502235.0
20260704,1437,242311.0
20260704,1438,41611.0
20260704,1439,30555.0
20260704,1440,6843021.0
20260704,1441,92186.0
20260704,1442,721213.0
20260704,1443,4868.0
20260704,1444,19713967.0
20260704,1445,800154.0
20260704,1446,1073570.0
20260704,1447,37908670.0
20260704,1449,1289185.0
20260704,1451,326548.0
20260704,1452,609971.0
20260704,1453,72903.0
20260704,1454,43856.0
20260704,1455,7504662.0
20260704,1456,71991.0
20260704,1457,434729.0
20260704,1459,646272.0
20260704,1460,11227721.0
20260704,1463,138180.0
20260704,1464,2301439.0
20260704,1465,247381.0
20260704,1466,4527009.0
20260704,1467,1329626.0
20260704,1468,39260.0
20260704,1470,2008.0
20260704,1471,894702.0
20260704,1472,33602.0
20260704,1473,177958.0
20260704,1474,1201651.0
20260704,1475,11476.0
20260704,1476,1079824.0
20260704,1477,2799243.0
20260704,1503,1566665.0
20260704,1504,6579280.0
20260704,1506,329667.0
20260704,1512,234211.0
20260704,1513,2745352.0
20260704,1514,4296790.0
20260704,1515,13280899.0
20260704,1516,36438.0
20260704,1517,1409298.0
20260704,1519,1064170.0
20260704,1521,25214.0
20260704,1522,641197.0
20260704,1522A,0.0
20260704,1524,756678.0
20260704,1525,78092.0
20260704,1526,227174.0
20260704,1527,701483.0
20260704,1528,1552881.0
20260704,1529,1168660.0
20260704,1530,126499.0
20260704,1531,316942.0
20260704,1532,683384.0
20260704,1533,170532.0
20260704,1535,67655.0
20260704,1536,8190757.0
20260704,1537,32964.0
20260704,1538,218.0
20260704,1539,112043.0
20260704,1540,520977.0
20260704,1541,10613.0
20260704,1558,106852.0
20260704,1560,706192.0
20260704,1563,4158374.0
20260704,1568,1463976.0
20260704,1582,1015640.0
20260704,1583,32853.0
20260704,1587,344235.0
20260704,1590,886093.0
20260704,1597,6863779.0
20260704,1598,237519.0
20260704,1603,301524.0
20260704,1604,1018586.0
20260704,1605,19446977.0
20260704,1608,4011348.0
20260704,1609,16418464.0
20260704,1611,1950960.0
20260704,1612,948100.0
20260704,1614,132486.0
20260704,1615,144754.0
20260704,1616,1390034.0
20260704,1617,4480050.0
20260704,1618,865377.0
20260704,1623,394910.0
20260704,1626,175403.0
20260704,1702,732953.0
20260704,1707,716067.0
20260704,1708,33243863.0
20260704,1709,4690710.0
20260704,1710,43260099.0
20260704,1711,8100400.0
20260704,1712,882670.0
20260704,1713,132707.0
20260704,1714,16799991.0
20260704,1717,60578407.0
20260704,1718,148912446.0
20260704,1720,419576.0
20260704,1721,2961002.0
20260704,1722,3193768.0
20260704,1723,459907.0
20260704,1725,214382.0
20260704,1726,30306.0
20260704,1727,4309715.0
20260704,1730,314563.0
20260704,1731,94315.0
20260704,1732,276489.0
20260704,1733,142813.0
20260704,1734,574966.0
20260704,1735,401885.0
20260704,1736,878845.0
20260704,1737,138220.0
20260704,1752,61106.0
20260704,1760,509667.0
20260704,1762,216971.0
20260704,1773,755200.0
20260704,1776,179789.0
20260704,1783,181027.0
20260704,1786,292875.0
20260704,1789,1465862.0
20260704,1795,3821379.0
20260704,1802,38090833.0
20260704,1805,102931.0
20260704,1806,1953835.0
20260704,1808,935507.0
20260704,1809,4125936.0
20260704,1810,20422279.0
20260704,1817,55824.0
20260704,1903,302352.0
20260704,1904,6030018.0
20260704,1905,6977730.0
20260704,1906,180908.0
20260704,1907,2068862.0
20260704,1909,10854452.0
20260704,2002,41119896.0
20260704,2002A,33467.0
20260704,2006,2072868.0
20260704,2007,564757.0
20260704,2008,19542.0
20260704,2009,2532832.0
20260704,2010,1871483.0
20260704,2012,171814.0
20260704,2013,366064.0
20260704,2014,5800105.0
